%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.25       0.96097546            0.625       -3568.2893        2011824.3        5634.9942       -3.5718611        2013.8381        5.6406348    -0.0044885331        2.5306636     0.0070882307        2011835.3        2013.8492        2.5306775 
                7       0.92783838            0.625       -3881.8176        2024918.8        5886.7708       -3.8857033        2026.9458        5.8926634    -0.0048829187        2.5471352     0.0074049393        2024931.1        2026.9581        2.5471506 
             7.75         1.284062            0.625        9129.6255        1933153.5        10985.271        9.1387642        1935.0886        10.996267       0.01148411         2.431704      0.013818317        1933206.2        1935.1414        2.4317704 
              7.5        1.2426407            0.625       -3207.3772          2005544        7454.5105       -3.2105878        2007.5516        7.4619725    -0.0040345437        2.5227637     0.0093769911        2005560.5         2007.568        2.5227844 
             7.25        1.2012193            0.625       -5738.0181        2006661.2        7068.4476       -5.7437618        2008.6698        7.0755231     -0.007217824         2.524169     0.0088913645        2006681.8        2008.6905        2.5241949 
                7         1.159798            0.625       -5291.0538        2026526.3        7305.5766       -5.2963502        2028.5549        7.3128895    -0.0066555899        2.5491572      0.009189648        2026546.4        2028.5749        2.5491825 
             7.75        1.5408745            0.625        9669.8352        1889003.9        13205.383        9.6795147        1890.8948        13.218602      0.012163637        2.3761685      0.016610985        1889074.9        1890.9658        2.3762577 
              7.5        1.4911688            0.625        -7090.022        1997462.8        8996.3491       -7.0971192        1999.4623        9.0053545     -0.008918503        2.5125984      0.011316462        1997495.7        1999.4952        2.5126397 
             7.25        1.4414632            0.625       -9685.6482        2000704.4        8598.6082       -9.6953435        2002.7071        8.6072154     -0.012183528        2.5166759      0.010816146        2000746.3         2002.749        2.5167287 
                7        1.3917576            0.625       -7427.0043        2029842.8        8784.8075       -7.4344387        2031.8746        8.7936011    -0.0093423912         2.553329      0.011050365        2029875.4        2031.9073          2.55337 
             7.75        1.7976869            0.625        8302.1505          1829453        15575.337         8.310461        1831.2843        15.590928      0.010443233        2.3012597      0.019592138        1829538.1        1831.3695        2.3013668 
              7.5         1.739697            0.625       -15489.032        1986169.7        10661.406       -15.504536        1988.1579        10.672078     -0.019483575        2.4983929      0.013410928        1986258.8         1988.247        2.4985049 
             7.25        1.6817071            0.625       -17078.043        1994859.8        10144.714       -17.095138        1996.8567        10.154869     -0.021482384        2.5093241      0.012760985        1994958.7        1996.9557        2.5094485 
                7        1.6237172            0.625       -10641.433        2036355.4        10328.873       -10.652085        2038.3938        10.339212     -0.013385804        2.5615211      0.012992637        2036409.4        2038.4478        2.5615891 
             7.75        2.0544993            0.625          2865.86        1745672.1        18098.249        2.8687287        1747.4195        18.116365     0.0036049508        2.1958722      0.022765696        1745768.3        1747.5158        2.1959931 
              7.5        1.9882251            0.625       -33341.682        1969281.2        12529.629       -33.375057        1971.2525        12.542172     -0.041940334        2.4771489      0.015760958        1969603.3        1971.5749        2.4775541 
             7.25        1.9219509            0.625       -32513.816        1990758.4          12012.9       -32.546362        1992.7512        12.024925     -0.040898965         2.504165      0.015110967        1991060.2        1993.0532        2.5045446 
                7        1.8556768            0.625       -16953.137        2049311.9          12124.8       -16.970108        2051.3633        12.136936     -0.021325266        2.5778191      0.015251724        2049417.9        2051.4694        2.5779525 
             7.75        2.3113117            0.625       -11000.149          1620508        21560.577        -11.01116        1622.1301        21.582159     -0.013837032        2.0384288      0.027120941        1620688.8        1622.3111        2.0386562 
              7.5        2.2367532            0.625        -71304.56          1940752         14845.68       -71.375936        1942.6946        14.860541     -0.089693646        2.4412621      0.018674307        1942118.1        1944.0622        2.4429806 
             7.25        2.1621948            0.625       -65715.173        1990845.9            14070       -65.780954        1992.8388        14.084085     -0.082662784         2.504275      0.017698583        1991979.9        1993.9739        2.5057015 
                7        2.0876364            0.625       -30158.608        2076372.7        14038.141       -30.188797        2078.4511        14.052193     -0.037936361        2.6118587      0.017658507        2076639.1        2078.7178        2.6121939 
             7.75        2.5681241            0.625       -40480.817        1426097.2        31599.199       -40.521338        1427.5247         31.63083     -0.050920615        1.7938804      0.039748474        1427021.5        1428.4499        1.7950431 
              7.5        2.4852814            0.625       -148144.83        1888338.9         19452.82       -148.29313        1890.2291        19.472292      -0.18635064        2.3753319      0.024469604          1894241        1896.1371        2.3827562 
             7.25        2.4024387            0.625          -136086        1997489.7        16730.776       -136.22223        1999.4892        16.747524       -0.1711819        2.5126322      0.021045559        2002189.9        2004.1941        2.5185446 
                7        2.3195959            0.625       -59125.391        2134283.7        16201.988       -59.184575        2136.4201        16.218206     -0.074373531        2.6847047      0.020380399          2135164        2137.3013         2.685812 
             7.75        2.8249365            0.625       -49509.184        1195810.8        56603.387       -49.558743        1197.0078        56.660047     -0.062277353        1.5042043      0.071201115          1198173        1199.3723        1.5071757 
              7.5        2.7338095            0.625       -251303.49        1748315.8        34582.731       -251.55504        1750.0659        34.617349      -0.31611339        2.1991977      0.043501443        1766623.2        1768.3916        2.2222264 
             7.25        2.6426825            0.625       -309482.99          1985268        20941.424       -309.79278        1987.2552        20.962386      -0.38929709        2.4972586      0.026342111        2009354.9        2011.3663        2.5275574 
                7        2.5515555            0.625       -143517.88        2271994.9        19357.093       -143.66154        2274.2691         19.37647      -0.18053042        2.8579309       0.02434919        2276605.5        2278.8844        2.8637306 
             7.75        3.0817489            0.625       -40218.452        1065003.7        138832.22       -40.258711        1066.0697        138.97119     -0.050590588        1.3396627       0.17463634        1074767.3        1075.8431        1.3519443 
              7.5        2.9823376            0.625       -317803.84        1474002.7        41932.204       -318.12197        1475.4782        41.974178      -0.39976385        1.8541406      0.052746307        1508456.7        1509.9667        1.8974801 
             7.25        2.8829264            0.625       -596166.68        1801603.5        26166.482       -596.76344        1803.4069        26.192674      -0.74991506        2.2662279      0.032914685        1897860.5        1899.7603        2.3873092 
                7        2.7835151            0.625       -361947.18        2613112.6        9763.0417       -362.30949        2615.7283        9.7728145      -0.45529153        3.2870212      0.012280881        2638078.6        2640.7193        3.3184257 
             7.75       -3.0817489            0.375        97798.784        1241813.9        -130951.3        97.896681        1243.0569       -131.08238        0.1230206        1.5620714      -0.16472298        1252523.3         1253.777        1.5755427 
              7.5       -2.9823376            0.375        378326.22        1446979.5       -41785.219        378.70492        1448.4279       -41.827046       0.47589464        1.8201482     -0.052561416          1496204        1497.7017        1.8820674 
             7.25       -2.8829264            0.375        628529.51        1809034.2       -17651.212        629.15867         1810.845        -17.66888        0.7906241         2.275575      -0.02220337        1915193.4        1917.1105        2.4091121 
                7       -2.7835151            0.375        378234.03        2560290.9        2711.7955        378.61264        2562.8538          2.71451       0.47577868        3.2205771     0.0034111539          2588080        2590.6707        3.2555328 
             7.75       -2.8249365            0.375        53684.199        1602278.6       -45007.665        53.737937        1603.8825       -45.052718      0.067529083        2.0154982     -0.056614915        1603809.3        1605.4147        2.0174237 
              7.5       -2.7338095            0.375        231333.96        1742525.9       -27879.355        231.56553        1744.2701       -27.907263       0.29099383        2.1919145       -0.0350693        1758035.6        1759.7954        2.2114241 
             7.25       -2.6426825            0.375        281397.45        2022885.5       -13057.211        281.67913        2024.9104       -13.070281       0.35396843        2.5445775       -0.0164246        2042405.6        2044.4501        2.5691318 
                7       -2.5515555            0.375        123984.56        2197707.4       -9993.2475        124.10867        2199.9073       -10.003251       0.15595956         2.764485     -0.012570456        2201224.6         2203.428        2.7689093 
             7.75       -2.5681241            0.375        34940.709        1787769.5       -14852.778        34.975685        1789.5591       -14.867646      0.043951742        2.2488263     -0.018683235        1788172.6        1789.9626        2.2493333 
              7.5       -2.4852814            0.375         125518.8        1892560.4       -12423.045        125.64444        1894.4549        -12.43548       0.15788946        2.3806422     -0.015626886        1896758.9        1898.6576        2.3859234 
             7.25       -2.4024387            0.375        118894.28        2023840.2       -10546.924         119.0133        2025.8661       -10.557482       0.14955652        2.5457784     -0.013266923          2027357        2029.3864        2.5502021 
                7       -2.3195959            0.375        44721.692        2075413.7       -8814.3779        44.766458        2077.4912       -8.8232011      0.056255191        2.6106525     -0.011087562        2075914.2        2077.9922         2.611282 
             7.75       -2.3113117            0.375        8397.2005        1901365.5       -5144.5458        8.4056061        1903.2688       -5.1496955      0.010562796        2.3917181    -0.0064712982          1901391        1903.2943        2.3917502 
              7.5       -2.2367532            0.375        53598.833        1948441.1       -7857.0395        53.652485        1950.3914       -7.8649044      0.067421702        2.4509342    -0.0098833304          1949194        1951.1451        2.4518813 
             7.25       -2.1621948            0.375        50720.027        2010093.7       -8751.3846        50.770798        2012.1059       -8.7601447      0.063800466        2.5284868     -0.011008323        2010752.6        2012.7654        2.5293155 
                7       -2.0876364            0.375        18164.735        2029615.1       -7788.8555        18.182918        2031.6468       -7.7966522      0.022849329        2.5530426    -0.0097975621        2029711.4        2031.7431        2.5531637 
             7.75       -2.0544993            0.375        -4291.789          1956941       -3534.6101       -4.2960851        1958.8999       -3.5381483    -0.0053986197        2.4616262    -0.0044461683        1956948.9        1958.9078        2.4616362 
              7.5       -1.9882251            0.375        19234.617        1976143.7       -6377.9619        19.253871        1978.1218       -6.3843462      0.024195128        2.4857812    -0.0080228061        1976247.6        1978.2258        2.4859119 
             7.25       -1.9219509            0.375        20040.064        2005476.2       -7466.0862        20.060124        2007.4837       -7.4735598      0.025208295        2.5226784    -0.0093915522        2005590.3        2007.5979        2.5228219 
                7       -1.8556768            0.375        6874.5057        2013099.3       -6764.5254        6.8813871        2015.1144       -6.7712967     0.0086474061        2.5322674    -0.0085090623        2013122.4        2015.1375        2.5322965 
             7.75       -1.7976869            0.375       -8951.4415        1985191.5       -3250.1272       -8.9604019        1987.1787       -3.2533806     -0.011259973        2.4971624    -0.0040883187        1985214.4        1987.2016        2.4971912 
              7.5        -1.739697            0.375        4287.5222        1992048.7       -5462.2018         4.291814        1994.0428       -5.4676695     0.0053932526         2.505788    -0.0068708761        1992060.8        1994.0549        2.5058033 
             7.25       -1.6817071            0.375        6817.9189        2006059.2       -6284.1732        6.8247436        2008.0673       -6.2904637     0.0085762258        2.5234117    -0.0079048298        2006080.6        2008.0887        2.5234387 
                7       -1.6237172            0.375        2203.7465        2008930.1       -5721.9738        2.2059525         2010.941       -5.7277015     0.0027720816         2.527023     -0.007197642        2008939.4        2010.9504        2.5270348 
             7.75       -1.5408745            0.375       -9900.0455        2000355.8       -2964.2812       -9.9099555        2002.3581       -2.9672485     -0.012453217        2.5162374    -0.0037287544        2000382.5        2002.3849         2.516271 
