%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
                7       0.23195959            0.375        2.4110161        2021720.9        1080.0173 
             7.75       0.51362482            0.375        4070.0758          2019253        1323.2613 
              7.5       0.49705627            0.375        2441.1091        2021033.8        1782.7544 
             7.25       0.48048773            0.375        1109.9205        2020805.1        1971.1367 
                7       0.46391919            0.375        228.10581        2020030.1        1925.4054 
             7.75       0.77043723            0.375        6071.9262          2016750        1884.9047 
              7.5       0.74558441            0.375        3616.7685        2018088.7        2585.7702 
             7.25        0.7207316            0.375        1613.3875        2018310.8        2880.6789 
                7       0.69587878            0.375        374.09303        2017412.4        2764.8574 
             7.75        1.0272496            0.375        7943.3759        2013067.7        2411.8563 
              7.5       0.99411255            0.375        4219.3543        2013715.4         3402.489 
             7.25       0.96097546            0.375        1619.3829        2015069.2        3776.5634 
                7       0.92783838            0.375        445.74643        2014060.6        3602.8989 
             7.75         1.284062            0.375        9347.8625        2007372.9        2857.1527 
              7.5        1.2426407            0.375        3924.5007        2007797.4         4175.573 
             7.25        1.2012193            0.375        928.24831        2011330.2        4693.7596 
                7         1.159798            0.375        195.30303        2010387.1        4420.6921 
             7.75        1.5408745            0.375        10146.523        1998321.5        3170.1919 
              7.5        1.4911688            0.375        1990.3013        2000157.9        4919.9199 
             7.25        1.4414632            0.375       -1382.9266        2007077.3        5653.8256 
                7        1.3917576            0.375       -720.40377        2007308.6        5255.6321 
             7.75        1.7976869            0.375         9223.718          1982889        3450.5217 
              7.5         1.739697            0.375       -4187.4377          1989478           5700.5 
             7.25        1.6817071            0.375       -6940.9334        2003561.6         6575.705 
                7        1.6237172            0.375       -2480.6613        2006241.9        6099.2157 
             7.75        2.0544993            0.375        4610.2442          1954441        3729.0868 
              7.5        1.9882251            0.375       -19037.931        1973276.2         6607.806 
             7.25        1.9219509            0.375       -20068.703        2002631.9        7740.3038 
                7        1.8556768            0.375       -7096.8685          2010039        7108.6756 
