%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
                7        2.5515555            0.625       -86110.728        1363196.9        11614.256       -86.196925        1364.5615        11.625882      -0.10831825        1.7147585      0.014609514        1365963.3        1367.3306        1.7182384 
             7.75        3.0817489            0.625       -24131.071         639002.2        83299.329       -24.155227        639.64184        83.382712     -0.030354353       0.80379764       0.10478181        644860.37        645.50588       0.81116661 
              7.5        2.9823376            0.625       -190682.31        884401.65        25159.322       -190.87318        885.28693        25.184507      -0.23985831        1.1124844      0.031647784        905074.03        905.98001        1.1384881 
             7.25        2.8829264            0.625       -357700.01        1080962.1        15699.889       -358.05806        1082.0441        15.715605      -0.44994903        1.3597368      0.019748811        1138716.3        1139.8562        1.4323855 
                7        2.7835151            0.625       -217168.31        1567867.6         5857.825       -217.38569         1569.437        5.8636887      -0.27317492        1.9722127     0.0073685285        1582847.1        1584.4316        1.9910554 
             7.75       -3.0817489            0.375        58679.271        745088.32        -78570.78        58.738009        745.83416        -78.64943      0.073812358       0.93724284     -0.098833788        751513.96        752.26623       0.94532562 
              7.5       -2.9823376            0.375        226995.73        868187.69       -25071.131        227.22295        869.05675       -25.096227       0.28553678        1.0920889     -0.031536849        897722.39        898.62101        1.1292405 
             7.25       -2.8829264            0.375         377117.7        1085420.5       -10590.727         377.4952         1086.507       -10.601328       0.47437446         1.365345     -0.013322022          1149116        1150.2663        1.4454672 
                7       -2.7835151            0.375        226940.42        1536174.6        1627.0773        227.16759        1537.7123         1.628706       0.28546721        1.9323462     0.0020466923          1552848        1554.4024        1.9533197 
             7.75       -2.8249365            0.375         32210.52        961367.16       -27004.599        32.242762        962.32949       -27.031631       0.04051745        1.2092989     -0.033968949         962285.6        963.24885        1.2104542 
              7.5       -2.7338095            0.375        138800.38        1045515.5       -16727.613        138.93932        1046.5621       -16.744358        0.1745963        1.3151487      -0.02104158        1054821.3        1055.8772        1.3268544 
             7.25       -2.6426825            0.375        168838.47        1213731.3       -7834.3266        169.00748        1214.9463       -7.8421688       0.21238106        1.5267465      -0.00985476        1225443.4        1226.6701        1.5414791 
                7       -2.5515555            0.375        74390.739        1318624.4       -5995.9485        74.465204        1319.9444       -6.0019504      0.093575735         1.658691    -0.0075422734        1320734.8        1322.0568        1.6613456 
             7.75       -2.5681241            0.375        20964.426        1072661.7       -8911.6669        20.985411        1073.7355       -8.9205875      0.026371045        1.3492958     -0.011209941        1072903.6        1073.9776           1.3496 
              7.5       -2.4852814            0.375        75311.277        1135536.3        -7453.827        75.386664        1136.6729       -7.4612883      0.094733676        1.4283853    -0.0093761313        1138055.3        1139.1945        1.4315541 
             7.25       -2.4024387            0.375        71336.571        1214304.1       -6328.1547        71.407979        1215.5197       -6.3344892      0.089733912        1.5274671    -0.0079601539        1216414.2        1217.6318        1.5301213 
