%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
             7.25        2.4024387            0.125       -70874.595        1210289.5        2405.5393 
                7        2.3195959            0.125        -26004.26        1247660.1        1581.4956 
             7.75        2.8249365            0.125       -36305.224        921970.59        10486.871 
              7.5        2.7338095            0.125       -144495.39        1040553.9        5893.2748 
             7.25        2.6426825            0.125       -171112.41        1208787.9        3039.9363 
                7        2.5515555            0.125       -74397.944        1322908.1        1641.1953 
             7.75        3.0817489            0.125       -69706.223        725929.28        12939.672 
              7.5        2.9823376            0.125        -241678.1        864508.24        9516.8219 
             7.25        2.8829264            0.125       -382192.71        1082366.1        3493.3062 
                7        2.7835151            0.125          -227952        1538848.3        1011.1538 
        7.2513663        3.7087888            0.125       -506331.99         460937.7         6042.347 
        7.2513663        3.7087888            0.375       -509519.76        468821.88        13458.859 
        7.2513663        3.7087888            0.625       -508998.72        478024.34         20376.87 
        7.1112013        3.4954004            0.125       -674515.22        519601.85        3854.9045 
        7.1112013        3.4954004            0.375       -671159.25        524441.68         9199.195 
        7.1112013        3.4954004            0.625          -682187        539618.66        12752.978 
        6.9710362        3.2820121            0.125       -898219.42        669138.81        1135.3049 
        6.9710362        3.2820121            0.375       -894220.44         671694.8        2262.8389 
        6.9710362        3.2820121            0.625       -890786.12        675373.37        7885.2534 
        6.8308712        3.0686237            0.125         -1281757        1086031.6       -1082.8419 
        6.8308712        3.0686237            0.375       -1277856.9        1085714.8       -7369.2866 
        6.8308712        3.0686237            0.625       -1260406.9        1073450.3        1252.9993 
        7.5837888        3.3763663            0.125       -448181.86        547985.21        10761.434 
        7.5837888        3.3763663            0.375       -434885.51        542948.79         33848.08 
        7.5837888        3.3763663            0.625       -452537.02         548539.6        36234.128 
        7.3704004        3.2362013            0.125        -482049.1         712555.2        6212.2218 
        7.3704004        3.2362013            0.375       -471257.57        713902.85        11401.274 
        7.3704004        3.2362013            0.625       -498365.17        704243.46        12220.511 
        7.1570121        3.0960362            0.125       -630174.97        947292.86         2434.984 
        7.1570121        3.0960362            0.375       -625100.28         947037.6        4324.6686 
        7.1570121        3.0960362            0.625       -635974.11         940286.6        8109.2554 
        6.9436237        2.9558712            0.125       -1070989.7        1320179.8       -96.687848 
        6.9436237        2.9558712            0.375       -1066639.8        1317769.7       -1998.0438 
        6.9436237        2.9558712            0.625       -1070434.5        1314925.6        5151.1823 
        6.6543972            3.125            0.125       -1462566.3        238373.59       -1241.8585 
        6.6543972            3.125            0.375       -1470115.8        240254.16       -17479.807 
        6.6543972            3.125            0.625       -1378862.4        248613.77       -9314.2878 
        6.7556995            3.375            0.125       -1015588.5        420144.77        583.43925 
        6.7556995            3.375            0.375       -1013362.8        425589.51       -1798.8043 
        6.7556995            3.375            0.625       -1017057.1        427646.43        1977.9708 
        6.8570017            3.625            0.125       -795881.41        297393.16         4273.248 
        6.8570017            3.625            0.375       -792594.45        306608.49        10993.232 
        6.8570017            3.625            0.625        -794776.5        307246.18        11866.961 
        6.9583039            3.875            0.125       -637724.49        121180.97        5197.1575 
        6.9583039            3.875            0.375       -631173.33        127506.98        44537.718 
        6.9583039            3.875            0.625       -685459.14        141095.34        49584.784 
        6.4142018            3.125            0.125       -1217983.1        72809.788        505.11097 
        6.4142018            3.125            0.375       -1236937.7        73114.814        335.70822 
        6.4142018            3.125            0.625       -1070768.8        80237.015        9985.2863 
        6.5110017            3.375            0.125       -1125728.3        190163.44        916.40802 
        6.5110017            3.375            0.375       -1127221.2         192332.4         2009.245 
        6.5110017            3.375            0.625       -1128849.3        215496.45        6250.8869 
        6.6078016            3.625            0.125       -947937.89        178809.81        2664.0006 
        6.6078016            3.625            0.375       -949142.89         182472.1        4098.5306 
        6.6078016            3.625            0.625       -935788.32        197545.02        5497.8468 
        6.7046015            3.875            0.125       -823638.89         69078.69        4890.9174 
        6.7046015            3.875            0.375       -803536.25        71732.073        7669.8378 
        6.7046015            3.875            0.625        -925243.7        78439.885        9439.8326 
        6.1740064            3.125            0.125       -1123411.2        19218.216        2590.3236 
        6.1740064            3.125            0.375       -1142853.4        17843.066         8002.608 
        6.1740064            3.125            0.625       -942031.52        16780.979         17941.81 
        6.2663039            3.375            0.125       -1104484.3        78881.842        2734.4265 
        6.2663039            3.375            0.375       -1105432.5        79181.674        7635.3254 
        6.2663039            3.375            0.625       -1108572.5        87504.903        11826.848 
        6.3586015            3.625            0.125       -1023573.5        98963.005        3049.4599 
        6.3586015            3.625            0.375       -1027870.6        101705.36        8907.9898 
        6.3586015            3.625            0.625       -1017254.4        114993.96        11979.096 
        6.4508991            3.875            0.125       -932377.31        49441.303        2910.9801 
        6.4508991            3.875            0.375       -921808.45        51491.116        9541.6024 
        6.4508991            3.875            0.625       -1044049.8        63978.737        15027.714 
        5.9338109            3.125            0.125       -1075810.3        186.03109        3955.6514 
        5.9338109            3.125            0.375       -1095687.8       -1973.4053        12538.584 
        5.9338109            3.125            0.625       -875423.41       -5940.9642         22991.76 
        6.0216062            3.375            0.125       -1074554.2        31664.286        4123.5333 
        6.0216062            3.375            0.375       -1073946.6        30678.526        11001.171 
        6.0216062            3.375            0.625       -1078240.8         36045.65        14997.131 
        6.1094015            3.625            0.125         -1041011         46528.46        4140.1156 
        6.1094015            3.625            0.375       -1044853.2        48743.683        11645.351 
        6.1094015            3.625            0.625       -1032631.8        59263.824        14903.956 
        6.1971967            3.875            0.125       -996171.94        28058.947        3615.6011 
        6.1971967            3.875            0.375       -984676.14        30182.429        13252.844 
        6.1971967            3.875            0.625       -1124349.8        41372.946        20163.013 
        5.6936155            3.125            0.125         -1044649       -8916.8105        4899.6152 
        5.6936155            3.125            0.375         -1065083       -11622.801        15782.157 
        5.6936155            3.125            0.625       -832333.51       -17688.186        26951.429 
        5.7769084            3.375            0.125       -1049916.4         9969.407        5057.9566 
        5.7769084            3.375            0.375       -1048539.5        8163.6403        13330.686 
        5.7769084            3.375            0.625       -1053667.1        11407.906        17420.665 
        5.8602014            3.625            0.125       -1037630.3        21470.396        4879.0737 
        5.8602014            3.625            0.375       -1041132.1        23339.537        13284.513 
        5.8602014            3.625            0.625       -1028942.5        32452.197        16845.863 
        5.9434943            3.875            0.125       -1017116.4        17662.387        4301.9139 
        5.9434943            3.875            0.375       -1003692.8        19822.104        14638.603 
        5.9434943            3.875            0.625       -1158819.8        30923.443         22512.47 
        5.4534201            3.125            0.125       -1019803.4       -13756.635        5651.7173 
        5.4534201            3.125            0.375       -1040700.4        -16905.42        18425.474 
        5.4534201            3.125            0.625       -800083.22        -24660.11        30378.039 
        5.5322107            3.375            0.125       -1027593.6       -334.78265        5785.3102 
        5.5322107            3.375            0.375         -1025832       -2764.4704        15221.327 
        5.5322107            3.375            0.625       -1031594.5       -1024.4761        19527.551 
        5.6110013            3.625            0.125       -1024864.9        9761.3655        5431.7086 
        5.6110013            3.625            0.375       -1028312.7        11405.627         14618.05 
        5.6110013            3.625            0.625       -1016163.1        19597.206        18568.293 
        5.6897919            3.875            0.125       -1016115.7        13183.762        4737.3138 
        5.6897919            3.875            0.375       -1001661.1        15410.646        15606.728 
        5.6897919            3.875            0.625       -1168075.9        26605.673        24526.748 
        5.2132246            3.125            0.125       -996870.36       -16669.818        6307.0939 
        5.2132246            3.125            0.375         -1018065        -20212.86        20755.135 
        5.2132246            3.125            0.625       -773077.43       -29456.754        33510.716 
        5.2875129            3.375            0.125       -1005568.9       -5377.3276        6419.5553 
        5.2875129            3.375            0.375         -1003600        -8330.971        16897.593 
        5.2875129            3.375            0.625       -1009866.1       -7842.6586        21465.443 
        5.3618012            3.625            0.125       -1007245.3        4350.9016        5918.6314 
        5.3618012            3.625            0.375       -1010707.7        5848.5812        15831.488 
        5.3618012            3.625            0.625       -998647.11        13401.324        20184.216 
        5.4360895            3.875            0.125       -1004006.2        11516.621        5098.2234 
        5.4360895            3.875            0.375       -988930.76        13836.979        16546.791 
        5.4360895            3.875            0.625       -1163323.5         25297.61         26501.24 
        4.9730292            3.125            0.125        -973972.5       -18758.831        6909.7361 
        4.9730292            3.125            0.375       -995292.74       -22661.692        22887.611 
