%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.25       -2.8829264            0.375        659023.92        1886493.7       -17553.657         659.6836        1888.3821       -17.571228       0.82898287        2.3730109     -0.022080657        1998369.1        2000.3695        2.5137385 
                7       -2.7835151            0.375        395907.72        2672222.8        2973.2492        396.30403        2674.8976        2.9762254       0.49801033        3.3613755     0.0037400351        2701393.4        2704.0975        3.3980691 
             7.75       -2.8249365            0.375        58876.544        1666178.6       -45043.981        58.935479        1667.8465        -45.08907      0.074060507        2.0958777     -0.056660596        1667826.9        1669.4964        2.0979511 
              7.5       -2.7338095            0.375        244730.01        1815086.4       -27888.895        244.97499        1816.9033       -27.916812       0.30784465         2.283188       -0.0350813          1831723        1833.5566        2.3041151 
             7.25       -2.6426825            0.375        295818.94        2108378.8        -13026.06        296.11506        2110.4893       -13.039099       0.37210916        2.6521191     -0.016385415        2129070.2        2131.2014        2.6781466 
                7       -2.5515555            0.375        130382.66        2292221.8       -10003.401        130.51317        2294.5163       -10.013415       0.16400769        2.8833742     -0.012583228        2295948.7         2298.247        2.8880623 
             7.75       -2.5681241            0.375        37890.629        1860995.8       -14898.664        37.928558        1862.8586       -14.913577      0.047662432        2.3409372     -0.018740954        1861441.1        1863.3044        2.3414974 
              7.5       -2.4852814            0.375        132475.48        1971210.2       -12456.508        132.60809        1973.1833       -12.468977       0.16664024        2.4795753     -0.015668978        1975695.9        1977.6736         2.485218 
             7.25       -2.4024387            0.375         125387.7        2108805.9       -10583.146        125.51321        2110.9168        -10.59374       0.15772456        2.6526563     -0.013312486        2112556.8        2114.6715        2.6573745 
                7       -2.3195959            0.375        47335.065        2163352.6       -8894.4287        47.382447        2165.5181        -8.903332      0.059542539        2.7212703     -0.011188257        2163888.7        2166.0547        2.7219446 
             7.75       -2.3113117            0.375        9851.9957        1979750.9       -5203.7346        9.8618576        1981.7326       -5.2089435      0.012392776        2.4903187    -0.0065457515        1979782.2         1981.764        2.4903581 
              7.5       -2.2367532            0.375        56935.374        2029565.2       -7914.7092        56.992366        2031.5968       -7.9226318       0.07161872        2.5529799    -0.0099558728        2030379.1        2032.4115        2.5540037 
             7.25       -2.1621948            0.375        53725.482          2094095         -8818.97        53.779262        2096.1912       -8.8277978      0.067581013        2.6341515     -0.011093338        2094802.6        2096.8995        2.6350417 
                7       -2.0876364            0.375        19398.856        2114821.1       -7899.0371        19.418274         2116.938        -7.906944      0.024401723        2.6602228    -0.0099361589        2114924.8        2117.0418        2.6603532 
             7.75       -2.0544993            0.375        -3633.936        2037888.7       -3603.4365       -3.6375736        2039.9286       -3.6070436    -0.0045711098        2.5634499    -0.0045327446        2037895.1        2039.9351         2.563458 
              7.5       -1.9882251            0.375        20786.832        2058325.8       -6448.5131        20.807639        2060.3862        -6.454968      0.026147651        2.5891576     -0.008111552        2058440.9        2060.5014        2.5893024 
             7.25       -1.9219509            0.375        21462.455        2088985.9       -7551.1939        21.483939         2091.077       -7.5587527      0.026997514        2.6277248    -0.0094986088        2089109.8         2091.201        2.6278807 
                7       -1.8556768            0.375        7509.6239        2097126.3       -6893.0805         7.517141        2099.2255       -6.8999804      0.009446318        2.6379645    -0.0086707711          2097151        2099.2503        2.6379957 
             7.75       -1.7976869            0.375       -8673.6013        2067378.8       -3323.6173       -8.6822835        2069.4483       -3.3269443     -0.010910479        2.6005454    -0.0041807615        2067399.7        2069.4692        2.6005717 
              7.5        -1.739697            0.375        5016.9675        2074742.6       -5539.5854        5.0219895        2076.8194       -5.5451306     0.0063108181        2.6098082    -0.0069682166          2074756        2076.8328        2.6098251 
             7.25       -1.6817071            0.375        7534.8414        2089373.4       -6378.2562        7.5423838        2091.4649       -6.3846409      0.009478039        2.6282123    -0.0080231763        2089396.7        2091.4882        2.6282416 
                7       -1.6237172            0.375        2580.4574        2092472.4       -5861.0799        2.5830404        2094.5669       -5.8669469     0.0032459443        2.6321104    -0.0073726229        2092482.1        2094.5767        2.6321227 
             7.75       -1.5408745            0.375       -9803.7381        2083171.3       -3040.0063       -9.8135516        2085.2566       -3.0430493     -0.012332073        2.6204107    -0.0038240086        2083196.6        2085.2819        2.6204425 
              7.5       -1.4911688            0.375       -1598.8253        2085385.2       -4759.2161       -1.6004257        2087.4727       -4.7639801    -0.0020111543        2.6231955    -0.0059865939        2085391.3        2087.4787        2.6232031 
             7.25       -1.4414632            0.375        1601.8434        2092524.8       -5457.0108        1.6034469        2094.6194       -5.4624733     0.0020149508        2.6321764    -0.0068643464        2092532.6        2094.6272        2.6321861 
                7       -1.3917576            0.375        675.14694        2093001.4       -5006.3528       0.67582276        2095.0965       -5.0113642    0.00084926393        2.6327759     -0.006297466        2093007.5        2095.1026        2.6327836 
             7.75        -1.284062            0.375        -9107.185        2092271.9       -2728.8875       -9.1163013        2094.3662       -2.7316191     -0.011455882        2.6318582    -0.0034326539        2092293.5        2094.3879        2.6318854 
              7.5       -1.2426407            0.375       -3736.1901        2092879.1       -4018.3443         -3.73993        2094.9741       -4.0223667    -0.0046997346        2.6326221    -0.0050546551        2092886.3        2094.9813        2.6326311 
             7.25       -1.2012193            0.375       -896.09906        2096500.4       -4496.4013      -0.89699606         2098.599       -4.5009022    -0.0011271985        2.6371772    -0.0056560006        2096505.4         2098.604        2.6371835 
                7        -1.159798            0.375       -324.57565        2095702.3       -4164.8981      -0.32490055        2097.8001       -4.1690672   -0.00040828207        2.6361733    -0.0052390043        2095706.4        2097.8042        2.6361785 
             7.75       -1.0272496            0.375       -7762.0944        2097875.4       -2286.0506       -7.7698643        2099.9753        -2.288339    -0.0097638994        2.6389068    -0.0028756116          2097891         2099.991        2.6389265 
              7.5      -0.99411255            0.375       -4137.4956        2098616.1       -3249.5433       -4.1416372        2100.7168       -3.2527961    -0.0052045348        2.6398386    -0.0040875841        2098622.7        2100.7234        2.6398469 
             7.25      -0.96097546            0.375       -1679.5352        2099990.3       -3581.7426       -1.6812164        2102.0924       -3.5853279    -0.0021126789        2.6415672    -0.0045054559          2099994        2102.0961        2.6415719 
                7      -0.92783838            0.375       -616.32154        2099082.7       -3345.3866      -0.61693848        2101.1839       -3.3487353   -0.00077526776        2.6404255    -0.0042081449        2099085.4        2101.1866         2.640429 
             7.75      -0.77043723            0.375       -5920.4314        2101402.3       -1762.3006       -5.9263578        2103.5058       -1.7640646    -0.0074472809        2.6433434     -0.002216789        2101411.4        2103.5149        2.6433548 
              7.5      -0.74558441            0.375       -3588.5652        2102788.6       -2436.7651       -3.5921574        2104.8935       -2.4392043    -0.0045140381        2.6450871    -0.0030651945          2102793        2104.8979        2.6450928 
             7.25       -0.7207316            0.375       -1721.4849        2103009.4       -2690.4216       -1.7232081        2105.1145       -2.6931148    -0.0021654472        2.6453649    -0.0033842678        2103011.8        2105.1169         2.645368 
                7      -0.69587878            0.375       -562.72372        2102181.2       -2508.6025      -0.56328701        2104.2855       -2.5111136   -0.00070784733        2.6443231    -0.0031555584        2102182.8         2104.287        2.6443251 
             7.75      -0.51362482            0.375       -3937.1543        2103730.7       -1204.9395       -3.9410954        2105.8366       -1.2061456    -0.0049525265        2.6462723    -0.0015156873        2103734.8        2105.8406        2.6462774 
              7.5      -0.49705627            0.375       -2434.2599        2105522.5       -1639.4442       -2.4366965        2107.6301       -1.6410853    -0.0030620432        2.6485261    -0.0020622486        2105524.5        2107.6322        2.6485287 
             7.25      -0.48048773            0.375       -1236.2969        2105297.2       -1786.1142       -1.2375344        2107.4046       -1.7879021    -0.0015551316        2.6482427     -0.002246744        2105298.3        2107.4057        2.6482441 
                7      -0.46391919            0.375       -425.21676        2104566.9       -1673.5614       -0.4256424        2106.6736       -1.6752366   -0.00053487802        2.6473241    -0.0021051644        2104567.6        2106.6743         2.647325 
             7.75      -0.25681241            0.375       -1972.0574        2105102.6       -605.66886       -1.9740314        2107.2098      -0.60627514    -0.0024806411        2.6479979   -0.00076186781        2105103.6        2107.2108        2.6479992 
              7.5      -0.24852814            0.375       -1245.3922        2107144.1       -818.02694       -1.2466388        2109.2534      -0.81884579    -0.0015665725         2.650566     -0.001028992        2107144.7        2109.2539        2.6505666 
             7.25      -0.24024387            0.375       -627.51016        2106662.1       -890.77876       -0.6281383        2108.7709      -0.89167043   -0.00078934187        2.6499597    -0.0011205061        2106662.4        2108.7712          2.64996 
                7      -0.23195959            0.375       -200.03942        2106039.7       -835.28826      -0.20023966        2108.1479      -0.83612439   -0.00025162857        2.6491768    -0.0010507049        2106039.9        2108.1481         2.649177 
             7.75   -8.4654506e-16            0.375    -0.0053217943        2105550.2       0.67808541   -5.3271214e-06        2107.6578    0.00067876418   -6.6942582e-09        2.6485609    8.5296022e-07        2105550.2        2107.6578        2.6485609 
              7.5   -8.4654506e-16            0.375      -0.19889136        2107676.5       0.85601326   -0.00019909045        2109.7863    0.00085687013   -2.5018444e-07        2.6512357    1.0767748e-06        2107676.5        2109.7863        2.6512357 
