%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ
      0.011916667     0.0082555609     0.0051873127        614.62355       0.30208393       0.19025897 
          0.00975     0.0082555609     0.0051873127        615.51069       0.24617235       0.15562156 
     0.0075833333     0.0082555609     0.0051873127        616.21776       0.19029479       0.12190257 
     0.0054166667     0.0082555609     0.0051873127        616.74482        0.1340092      0.089587449 
          0.00325     0.0082555609     0.0051873127        617.09017      0.077158122      0.058695472 
     0.0010833333     0.0082555609     0.0051873127        617.25638      0.024203982      0.021799058 
      0.018416667     0.0068942911     0.0068942911        610.86891       0.39495038       0.39495038 
          0.01625     0.0068942911     0.0068942911        612.30451       0.34687821       0.34687821 
      0.014083333     0.0068942911     0.0068942911        613.55535       0.29939524       0.29939524 
      0.011916667     0.0068942911     0.0068942911        614.62346        0.2524416        0.2524416 
          0.00975     0.0068942911     0.0068942911        615.51032       0.20593548       0.20593548 
     0.0075833333     0.0068942911     0.0068942911        616.21683       0.15979516       0.15979516 
     0.0054166667     0.0068942911     0.0068942911        616.74318       0.11393752       0.11393752 
          0.00325     0.0068942911     0.0068942911        617.08993      0.068272789      0.068272789 
     0.0010833333     0.0068942911     0.0068942911        617.25998      0.022686001      0.022686001 
      0.018416667     0.0051873127     0.0082555609        610.86877       0.29818064       0.47229438 
          0.01625     0.0051873127     0.0082555609        612.30427       0.26159449       0.41499117 
      0.014083333     0.0051873127     0.0082555609        613.55525       0.22557017       0.35831947 
      0.011916667     0.0051873127     0.0082555609        614.62355       0.19025897       0.30208393 
          0.00975     0.0051873127     0.0082555609        615.51069       0.15562156       0.24617235 
     0.0075833333     0.0051873127     0.0082555609        616.21776       0.12190257       0.19029479 
     0.0054166667     0.0051873127     0.0082555609        616.74482      0.089587449        0.1340092 
          0.00325     0.0051873127     0.0082555609        617.09017      0.058695472      0.077158122 
     0.0010833333     0.0051873127     0.0082555609        617.25638      0.021799058      0.024203982 
      0.018416667     0.0032202209     0.0092028625        610.87136       0.18775685       0.52605608 
          0.01625     0.0032202209     0.0092028625        612.30661       0.16270756       0.46279086 
      0.014083333     0.0032202209     0.0092028625        613.55838       0.14030064       0.39948688 
      0.011916667     0.0032202209     0.0092028625        614.62708       0.11828237       0.33684024 
          0.00975     0.0032202209     0.0092028625        615.51496      0.097068658       0.27458221 
     0.0075833333     0.0032202209     0.0092028625        616.22354      0.077055292       0.21245203 
